Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 5.747895, 0.347953
4, 11.607875, 0.344594
8, 21.756667, 0.367703
16, 39.682930, 0.403196
32, 69.115258, 0.462995
64, 158.488894, 0.403814
128, 104.813243, 1.221220
256, 576.579443, 0.443998
512, 966.732130, 0.529619
1024, 796.147273, 1.286194
2048, 1348.816025, 1.518369
4096, 1081.953124, 3.785746
