Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 0.037360, 53.533559
4, 0.400461, 9.988498
8, 4.315056, 1.853974
16, 17.731331, 0.902358
32, 25.477580, 1.256006
64, 82.247889, 0.778135
128, 139.362137, 0.918470
256, 267.753782, 0.956102
512, 351.443873, 1.456847
1024, 315.313479, 3.247562
2048, 438.039710, 4.675375
4096, 471.272637, 8.691360
