Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 8.435057, 0.237106
4, 17.222702, 0.232252
8, 34.353754, 0.232871
16, 61.780745, 0.258980
32, 121.380550, 0.263634
64, 239.958310, 0.266713
128, 463.336746, 0.276257
256, 880.506574, 0.290742
512, 1466.789773, 0.349062
1024, 1433.443183, 0.714364
2048, 2273.554581, 0.900792
4096, 1735.216671, 2.360512
