Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 2.372965, 0.842827
4, 10.954555, 0.365145
8, 22.073514, 0.362425
16, 37.278257, 0.429205
32, 74.332342, 0.430499
64, 141.880333, 0.451084
128, 259.585664, 0.493093
256, 521.183394, 0.491190
512, 786.952338, 0.650611
1024, 704.618147, 1.453269
2048, 1018.835755, 2.010138
4096, 832.033525, 4.922879
