Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 4.900497, 0.408122
4, 10.928078, 0.366030
8, 21.899227, 0.365310
16, 36.520853, 0.438106
32, 73.379924, 0.436087
64, 140.611126, 0.455156
128, 254.379616, 0.503185
256, 534.287029, 0.479143
512, 800.029765, 0.639976
1024, 714.799335, 1.432570
2048, 1038.669559, 1.971753
4096, 871.752295, 4.698582
