Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 0.027573, 72.534283
4, 0.077182, 51.825845
8, 0.158420, 50.498613
16, 0.313431, 51.047982
32, 0.644299, 49.666372
64, 1.277002, 50.117373
128, 2.532113, 50.550671
256, 5.192505, 49.301832
512, 12.724491, 40.237365
1024, 25.756167, 39.757468
2048, 335.357150, 6.106922
4096, 496.619782, 8.247758
