Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 5.500747, 0.363587
4, 11.351467, 0.352377
8, 22.791486, 0.351008
16, 39.200990, 0.408153
32, 74.979737, 0.426782
64, 143.545419, 0.445852
128, 301.438199, 0.424631
256, 548.174222, 0.467005
512, 857.966647, 0.596760
1024, 874.100442, 1.171490
2048, 1336.612521, 1.532232
4096, 1053.268254, 3.888848
