Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 5.293690, 0.377808
4, 10.862946, 0.368224
8, 21.705133, 0.368576
16, 37.716975, 0.424212
32, 74.890678, 0.427289
64, 147.661913, 0.433423
128, 287.193121, 0.445693
256, 590.331037, 0.433655
512, 1019.006639, 0.502450
1024, 907.669506, 1.128164
2048, 1412.272056, 1.450146
4096, 1129.494816, 3.626400
