Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 2.429388, 0.823252
4, 10.581823, 0.378007
8, 21.402808, 0.373783
16, 35.788557, 0.447070
32, 71.126114, 0.449905
64, 137.154043, 0.466629
128, 248.157118, 0.515802
256, 511.037469, 0.500942
512, 713.583116, 0.717506
1024, 396.696635, 2.581318
2048, 539.693684, 3.794745
4096, 691.450141, 5.923782
