Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 5.533209, 0.361454
4, 11.645081, 0.343493
8, 23.451496, 0.341130
16, 40.770631, 0.392439
32, 80.940677, 0.395351
64, 148.964210, 0.429633
128, 289.963306, 0.441435
256, 581.850698, 0.439975
512, 933.737386, 0.548334
1024, 879.477627, 1.164328
2048, 1379.624260, 1.484462
4096, 1098.419181, 3.728995
