Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 5.064027, 0.394943
4, 10.987356, 0.364055
8, 22.836721, 0.350313
16, 39.845301, 0.401553
32, 78.978645, 0.405173
64, 144.639924, 0.442478
128, 255.569099, 0.500843
256, 550.009698, 0.465446
512, 858.770447, 0.596201
1024, 851.050202, 1.203219
2048, 1316.182712, 1.556015
4096, 1057.505436, 3.873266
