Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 4.957648, 0.403417
4, 10.901953, 0.366907
8, 22.660445, 0.353038
16, 38.633135, 0.414152
32, 77.416370, 0.413349
64, 151.603512, 0.422154
128, 291.402436, 0.439255
256, 558.539802, 0.458338
512, 849.075855, 0.603009
1024, 798.874792, 1.281803
2048, 1235.824594, 1.657193
4096, 1002.384618, 4.086256
