Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 3.658917, 0.546610
4, 10.643293, 0.375824
8, 21.473403, 0.372554
16, 34.946056, 0.457849
32, 72.232459, 0.443014
64, 136.242823, 0.469750
128, 251.341417, 0.509267
256, 509.623239, 0.502332
512, 700.884755, 0.730505
1024, 420.321762, 2.436229
2048, 522.731926, 3.917878
4096, 660.660371, 6.199857
