Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 0.072602, 27.547547
4, 10.239294, 0.390652
8, 17.397343, 0.459840
16, 25.614844, 0.624638
32, 51.524352, 0.621066
64, 94.558994, 0.676826
128, 127.539296, 1.003612
256, 235.476849, 1.087156
512, 391.484028, 1.307844
1024, 334.538723, 3.060931
2048, 502.455225, 4.075985
4096, 486.958366, 8.411397
