Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 16.937674, 0.118080
4, 34.961197, 0.114413
8, 70.186401, 0.113982
16, 142.427092, 0.112338
32, 268.986353, 0.118965
64, 521.328402, 0.122763
128, 963.854166, 0.132800
256, 1790.537250, 0.142974
512, 2927.949056, 0.174866
1024, 3727.165641, 0.274740
2048, 6118.783718, 0.334707
4096, 4106.217433, 0.997512
