Message Size(bytes), Bandwidth(Megabytes/s), Latency(us)
2, 0.092971, 21.512123
4, 10.235041, 0.390814
8, 20.751664, 0.385511
16, 34.775712, 0.460091
32, 69.375036, 0.461261
64, 133.443547, 0.479604
128, 240.122693, 0.533061
256, 467.457611, 0.547643
512, 603.049995, 0.849018
1024, 220.981142, 4.633880
2048, 308.084138, 6.647535
4096, 472.686011, 8.665372
