Message Size (bytes),Time (us),Bandwidth (Megabytes/s),Latency (us)
2,1.122,3.565,0.561
4,1.241,6.447,0.620
8,0.698,22.924,0.349
16,0.604,52.991,0.302
32,0.625,102.377,0.313
64,0.656,195.093,0.328
128,0.743,344.515,0.372
256,0.891,574.872,0.445
512,1.137,900.752,0.568
1024,1.440,1422.055,0.720
2048,1.678,2440.309,0.839
4096,5.298,1546.310,2.649
