Message Size (bytes),Time (us),Bandwidth (Megabytes/s),Latency (us)
2,1.422,2.813,0.711
4,1.374,5.824,0.687
8,1.583,10.108,0.791
16,1.273,25.145,0.636
32,1.651,38.765,0.825
64,2.224,57.544,1.112
128,2.264,113.069,1.132
256,7.817,65.502,3.908
512,1.229,833.510,0.614
1024,2.280,898.327,1.140
2048,3.714,1102.970,1.857
4096,4.807,1704.350,2.403
