Message Size (bytes),Time (us),Bandwidth (Megabytes/s),Latency (us)
2,32.686,0.122,16.343
4,30.511,0.262,15.256
8,30.503,0.525,15.251
16,29.189,1.096,14.594
32,31.084,2.059,15.542
64,29.537,4.334,14.768
128,30.877,8.291,15.438
256,30.402,16.841,15.201
512,30.779,33.269,15.390
1024,31.354,65.318,15.677
2048,34.519,118.661,17.259
4096,45.021,181.960,22.510
